codename,controlgroup,animal,javaskill,springskill,mavenskill,touchcoreskill,unixskill,restskill,singletonskill,reflectionskill,groupindex,firstapp,secondapp,firstmethodology,secondmethodology,tcinstructions,ideinstructions,xoxtime,bookstoretime,xoxverified,bsverified,tccomments,idecomments,assistedstatus,assistedsuccessrate,manualstatus,manualsuccessrate,GET/xox,POST/xox,GET/xox/id,DEL/xox/id,GET/xox/id/board,GET/xox/id/players,GET/xox/id/players/id/actions,POST/xox/id/players/id/actions/actionid,GET/bookstore/isbns,GET/bookstore/isbns/isbn,PUT/bookstore/isbns/isbn,GET/bookstore/stocklocations,GET/bookstore/stocklocations/stocklocation,GET/bookstore/stocklocations/stocklocation/isbns,POST/bookstore/stocklocations/stocklocation/isbns,GET/bookstore/isbns/isbn/comments,POST/bookstore/isbns/isbn/comments,DEL/bookstore/isbns/isbn/comments,POST/bookstore/isbns/isbn/comments/comment,DEL/bookstore/isbns/isbn/comments/comment
Red-Squid,red,squid,3,1,2,1,4,2,5,1,0,bookstore,xox,touchcore,manual,1210,2636,2713,1256,True,True,Participant replicates entire TouchCORE screencast on zoo while watching instructions. Jumps back and forth between instructions and zoo replication. This leads to high tc-instruction time measured. Participant modifies TouchCORE resolution during instruction video  which was technically supposed to be done during preliminaries. Time spent on adjusting settings was excluded from time measurement. When working on own task (BS) participant does at first remains in feature model perspective and attempts to model the BookStore REST tree as feature model. Presumably an effect of them skipping through instructions and directly scroll over textual recap to the bookstore REST interface description. Participant is fast once they notice their mistake and proceed to correct TouchCORE perspective.,The participant at first completely ignores the instruction video and proceeds directly to the provided textual summary task description. They then open their IDE before having watched any part of the instruction video. Some parts of the textual instructions exemplify required steps on the example of the zoo. The participant seems to misunderstand the task for they then begin to replicate the illustrations on the zoo. Eventually the participants begins reading over from top and notices the provided screencast. They open the screencast but do not watch the instructions to end and again directly replicates steps shown for the zoo. They replicate in great detail. This includes even steps that are only meant for troubleshooting  e.g. cache invalidation of the IDE in case of project import problems. They hardly follow the provided instructions. They enter and submit their legal name instead of the pseudonym attributed. (We later modified this in their submission to protect their privacy). The participant then jumps back and forth in seconds intervals between manual zoo restify instructions and manual task solving of the zoo. It seems they have not yet noticed that this is not the task. They forget several modifications of the pom xml inlcuding the parent tag for spring boot. When IDE does not detect pom changes they ignore the refresh popup indicated in video and instead remove and re import the entire project multiple times into their IDE. Eventually they proceed watching the video and ignore all warning and errors in IDE related to imcomplete and non refreshes pom.xml. At some point the video stalls for 10 minutes where we see no on screen activity. We assume this an AFK activity as the associated part is not relevant enough to inspect for 10 minutes and therefore excluded this time form the measurements. The participant eventually fixes the missing parent statement in pom.xml by copying solution from zoo solution branch on git rather than inspecting the file content. While working on xox they are at first stuck because the again forget to update the launcher class reference in the pom.xml file.,OK,12/12,OK,7/8,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Red-Raccoon,red,raccoon,3,3,3,1,4,4,1,1,0,bookstore,xox,touchcore,manual,959,3256,1251,2161,False,True,All good.,The participant does not finish the task. They give up after about 80 minutes. This is acceptable as the requested minimum time was one hour. They lost a lot of time by alternating between instructions and solving. Notably they do not finish the instructions before starting work on own task and then rapidly gets lost in the refactoring process. The participant uses Eclipse instead of all material referring to IntelliJ. The participant spends a lot of time on manually formatting and indenting code. The participant seems to confuse the semantic of GetMapping with getters as they start annotating all getters encountered in source code for a significant amount of time. They skip the textual step by step instructions and instead frequently alternate between video and manual task solving in chunks of only few seconds. They do not work on the actual app but replicate the steps seen for the zoo. It takes about an hour until they notice this is not the task and only the last 20 minutes they actually work on xox.,OK,10/12,OK,0/8,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL
Red-Zebra,red,zebra,3,1,2,1,4,2,3,3,0,bookstore,xox,touchcore,manual,1591,2046,1536,1167,True,True,Pariticpant replicates the entire zoo example after TouchCORE video instructions. They first struggle with maven commands. Namely with launching of JAR file. Participant is stuck in split view as they try to edit the resource tree from within the split view. While connecting lines there is an issue as existing lines overlay resources that still need mapping. Makes it hard to operate software. Restified bookstore seems to print exceptions to console. Probably not an issue for the tested behaviour is correct.,The participant first attempts to start the refactored application using the IDEs launch button. However this button is not at all associated to maven. They afterwards edit the pom.xml with fast and very targeted. This seems to be a participant with maven experience.,OK,12/12,OK,6/8,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Red-Fox,red,fox,3,2,3,1,4,2,5,4,0,bookstore,xox,touchcore,manual,2615,2745,3682,2488,True,False,Struggles with setting of JVM version for touchcore before starting task. The check was requested to be run in preliminaries. Apparently those were not fully followed. Participant replicates the full zoo example with touchcore before starting own task. Video stops before any resource mapping is tested. The participant only tests once and types an incorrect root url before giving up.,Participant begins replicating the instruction video on the zoo but ultimately never finished instructions or replications before starting to work on xox task. It follows an interleaved phase where they rapidly jumps back and forth between instruction video and task solving in very small steps of only some seconds. Participant ignores pom.xml dependencies for a long time which results in massive error wordnings in code editor as they are referring to unresolved JDK external methods. The participant ignores these errors and warnings for a long time. At some point they imitate the ResTL DSL in a text editor effectively creating an ASCII version of the visualized resource tree and CRUD methods. Only afterwards they translate it to spring annotations for existing methods. The participant has issues with the resource naming as they use a CamelCase notation rather than using slash separators when testing resource access by browser.,OK,9/12,OK,0/8,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS
Red-Unicorn,red,unicorn,4,4,2,3,4,5,1,3,0,bookstore,xox,touchcore,manual,1058,2188,2568,2088,True,True,Participant struggles with TouchCORE user interface for creation of subresources. They trying repeatedly to drag down starting on top level resource. User interface only recognizes command if line is started below existing resource. Participant needs about two minutes to succeed with resource creation. No other issues.,The participant open the google search engine while watching the task instruction videos and looks up details of the spring annotation URL syntax. Otherwise a very linear and straightforward task solving.,OK,12/12,OK,6/8,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Red-Turtle,red,turtle,2,4,3,4,4,5,5,2,0,bookstore,xox,touchcore,manual,911,1296,2794,2502,True,True,At first stuck because they attempt to model the ResTL (tree) from within the splitview (only supports mapping). Afterwards they solve the task pretty straightforward. Participant consults API doc to identify desired bookstore target methods when in doubt.,Participant does not complete screencast before starting to work on own task. After 2 minutes when stuck on manual solving they first jump back to textual instructions and after that proceeds in interleaved mode where short parts of screencast are watched  followed by working on own Xox task. They seem to have problems with spring bean container and autowiring and watch the corresponding part of the instruction video 3-4 times. They also have issues with these parts during task solving. Launching the refactored app first fails because they forgot to update the launcher class in the pom.xml file.,OK,12/12,OK,7/8,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Red-Koala,red,koala,4,2,1,5,4,5,5,4,0,bookstore,xox,touchcore,manual,1153,1690,2311,1265,True,True,Participant replicates entire Zoo example live while following TouchCORE instructions.,Participant interleaves video instructions and manual task solving of xox. The on screen recordings show agressive jumping back and forth between video instructions and manual own task solving in very small steps.,OK,12/12,OK,8/8,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Green-Squid,green,squid,3,2,2,3,3,3,2,1,1,bookstore,xox,manual,touchcore,462,3101,3260,7397,True,False,Participant barely familiarized with provided material. Starts TouchCORE before reading any instructions or watching screencast. Then opens screencast and skips first three minutes. Jumps frequently back and forth  watches only snippets of some seconds. Seems to jump randomly back and forth in video. Keeps dragging on resource  does not read instructions or watch examples that tell how to extend resource tree by dragging below box. Modifies textual description by noting text of target method in resource rather than dragging the line between REST endpoint and method. At some point even opens Xox application source code in intelliJ to inspect internals  although models and javadoc are provided. Parameters do not show correct names in model which is supposed a windows bug.,The participant heavily interleaves video instructions and task solving. They jumps back and forth in steps of just several seconds. They seem to sacrifice a lot of efficiency due this approach and never finish the task despite over two hours 30 minutes. At some point there is 3and a half minute pause in screencast without any activity. This takes place at about 1h16 in the video. Likely the participant left their computer or was following an off screen activity that we cannot reconstruct. As we cannot distinguish with the present information we counted this to regular video watch time. Participant has problems with autowiring as they attempt to access an autowired field from within the constructor. This causes problems at program startup due to beans not being correctly constructed. The participant does not use the advised postcontruct annotation to solve the issue and gives up.,OK,8/8,NR,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
Green-Raccoon,green,raccoon,2,2,1,1,2,5,5,4,1,bookstore,xox,manual,touchcore,406,2258,3290,5069,True,True,Participant ignores preliminary instructions that request to begin with video task illustrations. Participant instead attempts to directly solve task with TouchCORE. Uses software for 20 minutes in trial and error mode. Only then goes back to watch screencast instructions. Participant does not watch screencast to then end. They only watches a few minutes and then try to commence task again without finishing screencast. They get stuck again. Participant then tries to modify ResTL model in splitview which does not allow modifications as it is only built for mapping to other models. Participant also tries to map path parameters of resources that do not contain the corresponding dynamic path parameter in resource path. As this is the second task the participant then reviews the code from their previous task for several minutes. It is not clear why as this provides no visible help for solving the task with TouchCORE. Participant tries the UNIX commands seen in instructions in a DOS prompt. Participant continues jumping back and forth between task and instructions but never finishes video instructions.,Participant first forgets to update the launcher class reference in the pom.xml file. Also the IDE first does not recognize the changes made to pom.xml as they do not manually refresh. Eventually they are able to solve both issues.,OK,7/8,OK,6/12,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
Green-Zebra,green,zebra,2,1,2,1,5,3,4,3,1,bookstore,xox,manual,touchcore,1384,2924,2357,8615,True,True,Participant replicates parts of screencast while still watching on zoo models. Participant inspects Xox source code while mapping on parameters. Possibly because parameter names are not displayed in splitview which is known to be a windows bug.,Participant tries some maven commends for the zoo sample project while still watching the screencast. They also open the Zoo project in IntelliJ while the screencast is still running but eventually never replicate the illustrated steps in the zoo. Otherwise all good. They then follow the screencast to end una only afterwards begin solving their manual refactoring task.,OK,7/8,OK,12/12,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
